frame,Period,Time [s],Home_1_x,Home_1_y,Home_2_x,Home_2_y,Home_3_x,Home_3_y,Home_4_x,Home_4_y,Home_5_x,Home_5_y,Home_6_x,Home_6_y,Home_7_x,Home_7_y,Home_8_x,Home_8_y,Home_9_x,Home_9_y,Home_10_x,Home_10_y,ball_x,ball_y
0,1,0.0,8.725170068027225,-20.428571428571438,-12.61904761904762,25.42857142857143,12.440841015378524,24.284477301458686,-2.956462585034025,28.0,-0.21853532916833984,11.840577052471424,3.965986394557831,5.142857142857146,22.425850340136037,18.0,23.291156462585022,0.2857142857142847,8.86938775510204,18.85714285714286,-9.734693877551031,-0.1428571428571317,12.440841015378524,85.71246661979218
1,1,0.05,8.758553463268974,-20.421362483394482,-12.580065368771088,25.367898800885506,12.518135899494638,24.313199512367618,-2.799208467386947,27.95785945378151,-0.13522605635358076,12.117248057743389,4.164883369347734,5.229769747899169,22.553194823348093,18.096462386006877,23.247663133100318,0.28856374455820344,9.130149973076144,19.017899507156137,-9.711395915646968,-0.15750714509378128,11.862067975786658,84.12830671862672
2,1,0.1,8.775288715445555,-20.420890910140137,-12.546000442669587,25.307294130721623,12.586795128015524,24.340271652209267,-2.6513239749232937,27.91720896358543,-0.06334598311982376,12.378331622780436,4.353569449112975,5.306919887955189,22.674043941739228,18.188004587229926,23.208811276316368,0.2911091180264478,9.375924668693656,19.167096468881013,-9.69313732666508,-0.171620505065178,11.289600634680625,82.56140614712379
3,1,0.15,8.775705785282113,-20.42693754801099,-12.516823165301055,25.24669277779733,12.646988767860606,24.36572621677969,-2.512697126850753,27.878007773109253,-0.002757603782342244,12.624099278529066,4.532156614645871,5.374472268907567,22.788510381654916,18.274711962637767,23.17443707554976,0.2933611385440358,9.60697927530493,19.304949600816627,-9.679887952322467,-0.18532870810459912,10.72343899206043,81.01176490528334
4,1,0.2,8.760134633503782,-20.4392832362097,-12.492503861223298,25.186030101830106,12.698886885949321,24.389595701874967,-2.383215942376971,27.840215126050417,0.04667658734361879,12.854822555935797,4.7007568467386776,5.432591596638652,22.896706829440603,18.356669871199045,23.144376714116802,0.29533053853595703,9.823581226260266,19.431674761462155,-9.6716176343363,-0.19876323954526498,10.163583047926046,79.47938299310539
5,1,0.25,8.72890522083582,-20.45770881393889,-12.473012854994238,25.12524146253748,12.742659549201065,24.411912603291164,-2.262768440709614,27.80379026610644,0.08509409594274331,13.07077298594718,4.859482126183806,5.481442577030812,22.998745971441608,18.433963671882417,23.118466375333995,0.2970280504272722,10.025997954909954,19.547487809316742,-9.668296214423684,-0.21205558472045993,9.610032802277487,77.96426041058996
6,1,0.3,8.682347508003417,-20.481995120401137,-12.458320471171696,25.06426221963691,12.778476824535318,24.43270941682438,-2.1512426410564203,27.76869243697478,0.11263242769985027,13.27222209950969,5.008444433773519,5.5211899159663815,23.094740494003503,18.5066787236565,23.096542242517813,0.29846440664301355,10.214496894604366,19.652604602879528,-9.66989353430175,-0.22533722896340436,9.062788255114782,76.46639715773703
7,1,0.35,8.620791455731727,-20.51192299479913,-12.448397034313572,25.00302773284593,12.806508778871446,24.452018638270687,-2.0485265626250637,27.734880882352925,0.12942908829955968,13.459441427569892,5.147755750300142,5.55199831932773,23.184803083471536,18.574900385489975,23.078440498984577,0.2996503396082062,10.389345478693734,19.7472410006497,-9.676379435687664,-0.23873965760735416,8.521849406437852,74.98579323454659
8,1,0.4,8.544567024746001,-20.547273276335478,-12.443212868977696,24.94147336188201,12.826925479128917,24.469872763426196,-1.9545082246231829,27.702314845938382,0.1356215834266905,13.632702501074249,5.2775280565559655,5.574032492997205,23.269046426191267,18.638714016351457,23.063997328050846,0.30059658174781845,10.550811140528445,19.831612861126395,-9.68772376029856,-0.25239435598558657,7.987216256246789,73.52244864101867
9,1,0.45,8.454004175771345,-20.587826804212792,-12.442738299721967,24.879534466462687,12.839896992227153,24.486304288086934,-1.8690756462585085,27.670953571428555,0.13134741876597644,13.792276850969337,5.3978733333333295,5.58745714285714,23.347583208508055,18.698204975209613,23.053048913033024,0.3013138654869607,10.699161313458795,19.905936042808776,-9.703896349851533,-0.26643280943132197,7.458888804541537,72.07636337715323
10,1,0.5,8.349432869533075,-20.633364417633707,-12.446943651104249,24.81714640630546,12.845593385085593,24.50134570804903,-1.7921168467387076,27.640756302521005,0.11674410000209434,13.938436008201627,5.5089035614245745,5.592436974789898,23.420526116767277,18.75345862103306,23.0454314372476,0.30181292325057996,10.834663430835093,19.97042640419599,-9.724867046063778,-0.2809865032778447,6.936867051322103,70.64753744295031
11,1,0.55,8.231183066756259,-20.683666955800863,-12.455799247682378,24.75424454112781,12.844184724623616,24.515029519108538,-1.723519845271447,27.611682282913172,0.09194913281982053,14.071451503717682,5.610730721621977,5.589136694677876,23.487987837314407,18.80456031279047,23.040981084010895,0.30210448746371554,10.957584926007648,20.0252998037872,-9.750605690652407,-0.2961869228583609,6.421150996588501,69.23597083840991
12,1,0.6,8.099584728166164,-20.738515257916863,-12.469275414014234,24.69076423064724,12.835841077760648,24.52738821706155,-1.663172661064415,27.583690756302524,0.0571000229038745,14.191594868463987,5.703466794717883,5.577721008403351,23.550081056494875,18.851595409450468,23.039534036639452,0.30219929055142103,11.068193232326792,20.070772100081548,-9.781082125334507,-0.31216555350616204,5.911740640340703,67.841663563532
13,1,0.65,7.954967814487958,-20.797690163184328,-12.487342474657737,24.62664083458128,12.820732511416196,24.53845429770415,-1.6109633133253496,27.556740966386556,0.012334275939018369,14.29913763338709,5.787223761504606,5.558354621848736,23.606918460654057,18.894649269981713,23.040926478449734,0.30210806493872866,11.166755783142833,20.107059151578227,-9.816266191827317,-0.3290538805544969,5.408635982578772,66.4646156183166
14,1,0.7,7.797662286446872,-20.86097251080595,-12.509970754170652,24.561809712647396,12.799029092509556,24.54826025683242,-1.5667798212618678,27.530792156862738,-0.04221060239007102,14.39435132943349,5.862113602774471,5.531202240896356,23.658612736137385,18.933807253352803,23.0449945927581,0.30184154305063515,11.253540011806052,20.134376816776374,-9.856127731847877,-0.3469833893365859,4.911837023302631,65.10482700276367
15,1,0.75,7.627998104768061,-20.928143139984293,-12.537130577110936,24.49620622456309,12.77090088796028,24.55683859024242,-1.5305102040816507,27.505803571428572,-0.10639710639859601,14.477507487549701,5.928248299319762,5.496428571428581,23.705276569290277,18.96915471853243,23.051574562881044,0.30141045731216565,11.328813351666838,20.15294095417513,-9.900636587113361,-0.366085565185692,4.421343762512329,63.762297716873256
16,1,0.8,7.446305230176712,-20.998982889921997,-12.568792268036404,24.429765730045887,12.736517964687735,24.56422179373027,-1.5020424809924293,27.481734453781506,-0.18008773040187265,14.54887763868227,5.985739831932783,5.4541983193277375,23.74702264645815,19.000777024489253,23.060502572134922,0.3008255401483382,11.392843236075464,20.162967422273653,-9.949762599340914,-0.38649189343505697,3.9371562002078733,62.437027760645364
17,1,0.85,7.252913623398044,-21.073272599821685,-12.604926151504962,24.362423588813286,12.696050389611358,24.57044236309202,-1.4812646712018207,27.458544047619057,-0.26314496871516013,14.608733313777691,6.0347001814058885,5.404676190476188,23.78396365398646,19.028759530191884,23.07161480383634,0.3000975239842063,11.445897098382233,20.16467207957112,-10.003475610247648,-0.4083338594179864,3.4592743363892424,61.12901713407997
18,1,0.9,7.048153245157195,-21.150793108885978,-12.64550255207444,24.29411516058279,12.649668229650516,24.575532794123767,-1.4680647939175913,27.43619159663865,-0.35543131565371056,14.657346043782496,6.075241328531419,5.3480268907562944,23.81621227822056,19.05318759460895,23.084747441301573,0.29923714124477385,11.488242371937474,20.158270784566653,-10.061745461550728,-0.43174294846767225,2.9876981710564223,59.83826583717707
19,1,0.95,6.832354056179462,-21.23132525631754,-12.690491794302702,24.224775805071886,12.597541551724746,24.579525582621592,-1.4623308683473581,27.414636344537804,-0.456809265532776,14.6949873596432,6.107475254101651,5.284415126050426,23.84388120550595,19.074146576709126,23.099736667847182,0.29825512435505175,11.520146490091506,20.143979395759438,-10.124541994967267,-0.4568506459173989,2.5224277042093917,58.56477386993667
20,1,1.0,6.605846017189954,-21.31464988131897,-12.73986420274764,24.15434088199808,12.539840422753386,24.582453224381545,-1.463950913698831,27.393837535014,-0.5671413126676441,14.721928792306315,6.13151393890891,5.214005602240903,23.86708312218795,19.09172183546106,23.116418666789542,0.29716220574008645,11.541876886194657,20.122013771648618,-10.191835052214408,-0.48378843710036534,2.0634629358482357,57.30854123235879
